CustomerID,Recency,Frequency,Monetary,Cluster,Label
12536.0,59,1,4279.71,0,Loyal / Regular Customer
13562.0,82,3,1799.33,0,Loyal / Regular Customer
12950.0,2,3,1843.0,0,Loyal / Regular Customer
17293.0,8,9,1875.1100000000001,3,Champion / High-Value Customer
15529.0,23,11,3995.23,3,Champion / High-Value Customer
14282.0,3,15,3729.34,3,Champion / High-Value Customer
13666.0,60,3,84.65,2,New / Occasional Customer
17850.0,372,34,5391.21,3,Champion / High-Value Customer
18010.0,257,1,174.8,1,At Risk / Dormant Customer
17738.0,19,4,1879.05,0,Loyal / Regular Customer
12726.0,28,7,2609.1,3,Champion / High-Value Customer
17312.0,155,2,154.70000000000002,2,New / Occasional Customer
12557.0,158,3,1691.34,0,Loyal / Regular Customer
16202.0,361,1,365.27,1,At Risk / Dormant Customer
17142.0,239,1,579.0,1,At Risk / Dormant Customer
12877.0,4,12,1535.77,3,Champion / High-Value Customer
15116.0,18,4,1352.75,0,Loyal / Regular Customer
15041.0,170,1,180.35,1,At Risk / Dormant Customer
16322.0,1,2,326.75,2,New / Occasional Customer
12705.0,15,9,6868.29,3,Champion / High-Value Customer
15287.0,22,2,486.69,2,New / Occasional Customer
17904.0,21,1,191.67,2,New / Occasional Customer
18071.0,258,2,453.0,1,At Risk / Dormant Customer
14730.0,1,8,2005.06,3,Champion / High-Value Customer
16892.0,1,5,525.54,0,Loyal / Regular Customer
14298.0,8,42,49817.95,3,Champion / High-Value Customer
15315.0,64,2,570.5,2,New / Occasional Customer
16834.0,228,1,413.46,1,At Risk / Dormant Customer
14984.0,19,2,213.27,2,New / Occasional Customer
17472.0,191,3,710.29,1,At Risk / Dormant Customer
12820.0,3,4,942.34,0,Loyal / Regular Customer
14004.0,43,7,4582.64,3,Champion / High-Value Customer
16573.0,85,2,663.61,2,New / Occasional Customer
13759.0,33,2,659.4100000000001,2,New / Occasional Customer
18178.0,129,4,1590.81,0,Loyal / Regular Customer
13273.0,113,1,138.98,2,New / Occasional Customer
17359.0,11,1,127.86,2,New / Occasional Customer
13787.0,76,2,309.04,2,New / Occasional Customer
15291.0,26,14,4220.94,3,Champion / High-Value Customer
17941.0,131,1,304.56,2,New / Occasional Customer
17693.0,137,1,200.47,2,New / Occasional Customer
17372.0,41,8,1342.68,0,Loyal / Regular Customer
17761.0,33,1,712.78,2,New / Occasional Customer
15436.0,12,3,1122.53,0,Loyal / Regular Customer
